UltimateParentAccountID,ARR,UserCount_All,SessionCount_Amp,ResponseCount,ActionCount_ProjectsCreated,MUserCount_ProjectsCreated,Pageland_Count,AMRActions_UniqueUsers,TextIqConsumption_Events,TextIqConsumption_Uniques
0015000000nDQApAAO,0,226,4686,55129,48,19,20806,54,0,0
0015000000wLFqQAAW,0,1875,24050,771497,493,266,100423,280,0,0
0015000000tGMS4AAO,0,425,8449,45793,12,7,19577,40,1,1
0015000000nDTZyAAO,0,112,615,1094,7,5,4084,21,0,0
0015000001Tl0bfAAB,0,1521,25470,190028,148,62,83374,137,16,255
0015000000ZhMrvAAF,0,1447,22404,230005,369,191,130351,309,28,3996
001500000184gTgAAI,0,441,25178,49856,41,20,73080,98,14,122
0015000000edkprAAA,0,4547,20879,1260819,58,40,72813,52,0,0
0015000000nDRdyAAG,0,1874,20440,56308,73,40,108311,102,10,370
0015000000ZC8qKAAT,0,1309,10969,505031,330,192,56404,381,1,1
0015000000nDQeYAAW,0,13511,240303,578736,138,74,445053,282,13,91
0015000000nDUnEAAW,0,2045,35281,382296,502,185,151570,243,3,9
0015000000nDqVdAAK,0,2098,12268,30474,97,50,58426,129,11,115
0012J00002QkrjFQAR,0,757,9378,51334,247,84,34967,135,9,75
0015000001Tmcu0AAB,0,406,4528,5968,43,13,20048,37,12,105
0015000000ruJcAAAU,0,219,3147,16023,13,7,41354,33,0,0
0015000000qFwD9AAK,0,1850,29727,68312,239,119,82732,189,3,4
0015000000nrMCdAAM,0,88093,1046745,11133250,24321,15454,3856200,22570,148,6738
0015000000nDVOwAAO,0,633,7285,109131,47,27,30133,82,19,1462
0015000000U9XqwAAF,0,444,3030,5085,31,19,17576,37,0,0
0015000000Puwe1AAB,0,87852,1165984,4763025,27679,16584,3710050,20505,90,974
00150000010MalOAAS,0,7002,100648,200228,792,544,308425,940,54,7752
0012J00002Lb7kwQAB,0,4577,86635,458275,1639,908,269456,761,4,15
0015000000nDR0aAAG,0,1952,12325,65962,63,25,38111,56,12,555
0015000000tG1j6AAC,0,1929,24695,94083,506,194,115112,329,37,2888
0015000000QUH2ZAAX,0,26305,233965,1293269,4532,2696,891939,3823,22,198
00150000010MmySAAS,0,7292,118365,877306,540,76,349482,246,58,3634
0015000000hW5AmAAK,0,5566,34070,251431,57,39,67384,54,0,0
0015000000nDrtFAAS,0,324,5710,684313,101,43,30051,44,12,1168
0015000000uomuIAAQ,0,457,15189,377513,380,104,58843,160,1,1
0015000000drKHKAA2,0,1469,25446,43879,391,150,97839,176,14,746
00150000010M95bAAC,0,99,2636,8816,5,4,11014,24,3,9
0015000001W2gN8AAJ,0,905,4094,127441,40,22,24841,48,18,141
